City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,nova vicosa,-17.8919,-39.3719,25.28,85,77,5.5,BR,1734756523
151,gadzhiyevo,69.2551,33.3362,-2.08,89,100,9.51,RU,1734756524
152,carnarvon,-24.8667,113.6333,33.71,51,6,4.13,AU,1734756525
153,st. john's,47.5649,-52.7093,1.2,81,100,7.2,CA,1734756467
154,vorgashor,67.5833,63.95,-14.46,88,100,3.29,RU,1734756527
155,ternate,0.8,127.4,30.06,68,99,2.65,ID,1734756528
156,youghal,51.95,-7.8506,9.75,100,100,10.04,IE,1734756529
157,hamilton,39.1834,-84.5333,0.99,85,100,5.66,US,1734756493
158,dryden,49.7833,-92.7503,-26.84,76,20,1.54,CA,1734756318
159,san rafael,-34.6177,-68.3301,19.43,48,21,7.68,AR,1734756533
160,ilulissat,69.2167,-51.1,-13.99,56,75,4.63,GL,1734756534
161,alice springs,-23.7,133.8833,37.75,10,0,5.14,AU,1734756535
162,ulladulla,-35.35,150.4667,21.8,68,21,5.56,AU,1734756536
163,aligudarz,33.4006,49.6949,0.2,68,7,1.28,IR,1734756537
164,cidreira,-30.1811,-50.2056,20.91,89,0,0.37,BR,1734756538
165,kpalime,6.9,0.6333,20.93,31,2,1.03,TG,1734756539
166,telavi,41.9198,45.4731,-0.37,70,51,0.69,GE,1734756540
167,thompson,55.7435,-97.8558,-25.91,76,75,1.03,CA,1734756542
168,udachny,66.4167,112.4,-27.98,100,84,1.32,RU,1734756543
169,tippi,7.2,35.45,21.98,47,36,1.13,ET,1734756544
170,thinadhoo,0.5333,72.9333,27.6,79,66,8.34,MV,1734756545
171,bodo,67.28,14.405,-6.98,87,13,7.2,NO,1734756546
172,praia da vitoria,38.7333,-27.0667,15.14,67,75,4.94,PT,1734756547
173,gomez farias,23.05,-99.15,17.08,89,92,2.83,MX,1734756548
174,tura,25.5198,90.2201,23.93,42,37,1.49,IN,1734756549
175,babu,24.4167,111.5167,18.76,28,8,3.37,CN,1734756550
176,altamira,-3.2033,-52.2064,22.9,97,100,1.27,BR,1734756551
177,elko,41.0002,-115.5012,3.69,56,100,3.13,US,1734756552
178,boende,-0.2167,20.8667,22.21,90,100,1.0,CD,1734756553
179,pennagaram,12.1333,77.9,29.21,63,97,0.73,IN,1734756554
180,dongola,19.1667,30.4833,12.53,49,3,4.71,SD,1734756555
181,mar del plata,-38.0023,-57.5575,13.3,79,40,2.24,AR,1734756302
182,adana,36.985,35.2881,8.01,76,75,2.06,TR,1734756558
183,smidovich,48.6,133.8167,-22.67,94,48,0.49,RU,1734756559
184,egilsstadir,65.2653,-14.3948,-8.05,93,0,0.0,IS,1734756560
185,at taraf,25.3628,49.725,12.3,17,45,3.76,SA,1734756561
186,kayangel,8.0823,134.7173,29.01,76,96,2.35,PW,1734756562
187,dauphin,51.1494,-100.0502,-21.92,77,100,1.03,CA,1734756564
188,ulety,51.3572,112.4849,-13.28,68,7,2.09,RU,1734756565
189,pionerskiy,54.9508,20.2275,1.91,87,21,10.12,RU,1734756566
190,smithers,54.7804,-127.1743,-3.82,93,100,0.0,CA,1734756567
191,ji'an,27.1172,114.9793,13.82,29,8,5.53,CN,1734756568
192,ujae,8.9322,165.7642,27.82,81,3,9.75,MH,1734756570
193,weno,7.4515,151.8468,30.97,79,100,4.63,FM,1734756571
194,saipan,15.1355,145.701,31.39,85,40,5.66,MP,1734756572
195,hilo,19.7297,-155.09,23.85,92,20,1.54,US,1734756573
196,letlhakeng,-24.0944,25.0298,20.48,80,97,4.99,BW,1734756574
197,gargalianoi,37.0667,21.6333,11.98,68,80,11.22,GR,1734756575
198,al jawf,29.5,38.75,8.32,82,0,3.05,SA,1734756576
199,puerto leguizamo,-0.1934,-74.7819,22.19,99,55,0.15,CO,1734756577
200,yamada,39.4667,141.95,7.51,61,48,0.8,JP,1734756578
201,vilyuchinsk,52.9306,158.4028,-0.85,74,46,4.46,RU,1734756579
202,mount pearl,47.5166,-52.7813,0.74,86,100,7.2,CA,1734756580
203,dalandzadgad,43.5708,104.425,-7.64,27,0,2.24,MN,1734756582
204,murun-kuren,49.6342,100.1625,-18.0,78,13,1.14,MN,1734756583
205,ust-nera,64.5667,143.2,-25.17,99,98,1.37,RU,1734756584
206,novyy urgal,51.0736,132.5642,-24.9,86,58,0.35,RU,1734756585
207,kabul,34.5,69.4167,4.74,22,40,1.48,AF,1734756586
208,uyuni,-20.4597,-66.825,11.08,30,74,3.28,BO,1734756502
209,lethem,3.3803,-59.7968,25.19,84,88,5.13,GY,1734756588
210,castillos,-34.1667,-53.8333,15.61,62,29,4.86,UY,1734756590
211,san juan de miraflores,-12.1629,-76.9635,20.65,80,58,2.49,PE,1734756591
212,yanchep,-31.55,115.6833,31.52,39,0,7.36,AU,1734756592
213,santa ana,33.7456,-117.8678,14.96,67,20,0.0,US,1734756593
214,balcarce,-37.8462,-58.2552,8.23,95,56,2.64,AR,1734756595
215,chonchi,-42.6128,-73.8092,7.84,91,80,0.46,CL,1734756596
216,bethlehem,-1.4558,-48.5044,26.02,89,0,3.6,BR,1734756486
217,turabah,21.2141,41.6331,15.42,85,16,0.84,SA,1734756598
218,queenstown,-31.8976,26.8753,17.33,65,2,1.6,ZA,1734756313
219,klyuchi,52.2667,79.1667,-11.06,86,13,4.37,RU,1734756600
220,tamarin,-20.3256,57.3706,29.73,66,18,3.88,MU,1734756601
221,bukan,36.521,46.2089,1.73,98,100,0.8,IR,1734756602
222,kerman,30.2832,57.0788,-3.08,17,0,0.0,IR,1734756603
223,pacific grove,36.6177,-121.9166,12.59,93,100,4.12,US,1734756604
224,vila do maio,15.1333,-23.2167,23.27,68,100,7.02,CV,1734756605
225,yuzhno-kurilsk,44.0306,145.8556,-1.86,56,100,3.03,RU,1734756606
226,sos'va,59.1766,61.8558,-12.03,90,88,3.54,RU,1734756607
227,colonia,50.9333,6.95,7.36,84,75,4.63,DE,1734756609
228,bannu,32.9854,70.6027,15.74,13,30,0.68,PK,1734756610
229,afaahiti,-17.75,-149.2833,25.96,80,67,3.65,PF,1734756611
230,lorengau,-2.0226,147.2712,29.74,70,49,3.17,PG,1734756612
231,guiyang,26.5833,106.7167,5.27,75,100,3.0,CN,1734756522
232,tlaltenango de sanchez roman,21.7833,-103.3167,15.24,60,70,1.75,MX,1734756614
233,sen monorom,12.45,107.2,26.21,45,55,3.3,KH,1734756615
234,sedalia,38.7045,-93.2283,-5.93,79,0,2.06,US,1734756609
235,lamu,-2.2717,40.902,26.98,82,21,3.9,KE,1734756617
236,illizi,26.4833,8.4667,11.2,33,59,1.04,DZ,1734756618
237,emerald,-23.5333,148.1667,31.3,32,97,5.64,AU,1734756619
238,constantia,44.1833,28.65,5.39,81,100,8.41,RO,1734756620
239,fale old settlement,-9.3852,-171.2468,28.85,75,95,5.44,TK,1734756621
240,tolanaro,-25.0319,46.9987,28.04,78,40,5.14,MG,1734756623
241,feltre,46.0235,11.907,-0.7,78,11,2.14,IT,1734756624
242,ebon,4.582,168.6964,28.63,77,98,9.65,MH,1734756625
243,fereydun kenar,36.6864,52.5225,10.75,62,100,1.31,IR,1734756626
244,nagqu,31.5,92.0,-3.01,14,100,5.67,CN,1734756627
245,cape coast,5.1053,-1.2466,24.52,65,4,3.11,GH,1734756629
246,al khawr,25.7667,51.3167,17.21,29,43,2.46,QA,1734756630
247,al bayda',32.7627,21.7551,11.34,98,41,5.92,LY,1734756632
248,heroica guaymas,27.9333,-110.9,20.71,35,0,3.46,MX,1734756373
249,abergavenny,51.821,-3.0174,8.38,90,94,7.04,GB,1734756634
250,dalby,-27.1833,151.2667,32.15,28,98,2.45,AU,1734756635
251,dien bien phu,21.3833,103.0167,22.9,53,87,1.53,VN,1734756636
252,flying fish cove,-10.4217,105.6791,26.82,89,100,4.63,CX,1734756637
253,broken hill,-31.95,141.4333,32.05,16,0,5.89,AU,1734756638
254,itaituba,-4.2761,-55.9836,23.75,98,100,0.4,BR,1734756639
255,tongzhou,39.9053,116.5994,2.06,20,0,8.0,CN,1734756640
256,nadi,-17.8,177.4167,31.0,62,75,5.66,FJ,1734756642
257,puerto ayora,-0.7393,-90.3518,21.71,89,18,3.33,EC,1734756644
258,n'zeto,-7.2312,12.8666,25.63,85,100,1.53,AO,1734756645
259,puma,-5.0,34.7333,17.5,90,92,3.38,TZ,1734756646
260,east london,-33.0153,27.9116,21.52,94,40,3.6,ZA,1734756647
261,baniyas,35.1819,35.9487,13.4,69,0,3.48,SY,1734756648
262,touros,-5.1989,-35.4608,24.91,87,21,3.18,BR,1734756461
263,porto novo,6.4965,2.6036,23.9,31,28,2.49,BJ,1734756650
264,vorkuta,67.5,64.0,-14.75,89,100,2.53,RU,1734756651
265,oyem,1.5995,11.5793,19.47,97,98,0.64,GA,1734756652
266,paita,-5.0892,-81.1144,19.29,82,95,3.88,PE,1734756653
267,harper,4.375,-7.7169,24.92,84,15,0.89,LR,1734756654
268,pangai,-19.8,-174.35,29.06,79,75,2.57,TO,1734756655
269,solnechnyy,50.7214,136.6319,-19.89,93,86,1.42,RU,1734756656
270,belmonte,-15.8631,-38.8828,24.77,84,53,3.77,BR,1734756658
271,kerikeri,-35.2268,173.9474,22.12,54,1,4.36,NZ,1734756659
272,knyaze-volkonskoye,48.4642,135.4567,-20.81,92,96,1.31,RU,1734756660
273,usinsk,65.9939,57.5281,-8.58,94,100,9.37,RU,1734756661
274,san patricio,28.017,-97.5169,13.97,48,66,3.45,US,1734756662
275,itacoatiara,-3.1431,-58.4442,24.78,87,92,0.99,BR,1734756663
276,codrington,-38.2667,141.9667,16.94,54,79,6.74,AU,1734756664
277,berezovyy,51.6667,135.7,-19.32,87,16,1.06,RU,1734756665
278,hilter,52.15,8.15,5.13,92,100,7.83,DE,1734756666
279,namibe,-15.1961,12.1522,20.1,81,79,1.37,AO,1734756667
280,siocon,7.7061,122.1353,29.15,76,100,4.77,PH,1734756669
281,puerto carreno,6.189,-67.4859,26.99,83,0,3.16,CO,1734756670
282,dudinka,69.4058,86.1778,-9.74,94,100,5.63,RU,1734756671
283,talnakh,69.4865,88.3972,-9.15,95,100,4.45,RU,1734756672
284,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,55,0,3.0,RU,1734756673
285,muscat,23.6139,58.5922,21.78,51,3,1.73,OM,1734756674
286,minyat an nasr,31.1229,31.6399,10.66,95,0,2.72,EG,1734756675
287,zhosaly,45.4878,64.0781,-4.88,85,7,0.37,KZ,1734756676
288,coahuayana de hidalgo,18.7,-103.6583,22.92,82,5,1.61,MX,1734756677
289,mochudi,-24.4167,26.15,19.94,88,100,3.78,BW,1734756678
290,nushki,29.5542,66.0215,10.79,15,5,0.45,PK,1734756679
291,dapa,9.7594,126.0531,27.39,86,81,6.47,PH,1734756681
292,shahrud,36.4182,54.9763,2.1,49,97,2.63,IR,1734756682
293,fortuna,40.5982,-124.1573,13.53,66,95,3.77,US,1734756683
294,onguday,50.75,86.15,-6.65,89,100,1.17,RU,1734756684
295,centerville,39.6284,-84.1594,0.34,88,100,3.58,US,1734756521
296,lazaro cardenas,17.9583,-102.2,23.45,69,73,1.82,MX,1734756686
297,kenora,49.8167,-94.4337,-22.46,84,0,3.09,CA,1734756688
298,susuman,62.7833,148.1667,-19.7,99,100,1.69,RU,1734756689
299,gizo,-8.103,156.8419,30.66,72,100,5.78,SB,1734756690
300,tazovsky,67.4667,78.7,-20.96,100,91,2.62,RU,1734756691
301,ingeniero guillermo n. juarez,-23.9,-61.85,23.65,66,55,4.08,AR,1734756692
302,benguela,-12.5763,13.4055,24.31,84,97,0.59,AO,1734756649
